Date;Open;High;Low;Close;Adj Close;Volume
Aug 13, 2025;120168.98;123682.45;118939.63;123344.06;123344.06;90904808795
Aug 12, 2025;118717.66;120302.47;118228.72;120172.91;120172.91;72803657984
Aug 11, 2025;119306.81;122321.09;118159.03;118731.45;118731.45;90528784177
Aug 10, 2025;116497.72;119320.71;116485.16;119306.76;119306.76;64755458694
Aug 9, 2025;116678.27;117906.61;116363.84;116500.36;116500.36;54004312429
Aug 8, 2025;117505.5;117689.2;115917.46;116688.73;116688.73;59713005166
Aug 7, 2025;115030.05;117676.91;114279.71;117496.9;117496.9;64051649681
Aug 6, 2025;114140.91;115737.84;113372.25;115028.0;115028.0;56379133510
Aug 5, 2025;115072.19;115117.44;112701.11;114141.45;114141.45;61039182286
Aug 4, 2025;114223.92;115729.47;114130.41;115071.88;115071.88;35783028986
Aug 3, 2025;112525.8;114747.42;111943.8;114217.67;114217.67;48099615826
Aug 2, 2025;113320.39;114021.6;112005.77;112526.91;112526.91;56870866000
Aug 1, 2025;115738.95;116060.77;112724.45;113320.09;113320.09;91294530181
Jul 31, 2025;117833.63;118919.98;115505.22;115758.2;115758.2;69370346018
Jul 30, 2025;117921.99;118780.73;115800.83;117831.19;117831.19;68896148592
Jul 29, 2025;117938.59;119273.87;116987.37;117922.15;117922.15;68463107433
Jul 28, 2025;119457.52;119819.79;117441.44;117924.48;117924.48;64822943193
Jul 27, 2025;117944.73;119815.59;117859.69;119448.49;119448.49;54683390892
Jul 26, 2025;117644.84;118335.69;117181.23;117947.37;117947.37;48508954046
Jul 25, 2025;118368.0;118486.98;114759.82;117635.88;117635.88;104857024569
Jul 24, 2025;118770.98;119535.45;117247.97;118368.0;118368.0;72627318560
Jul 23, 2025;119997.45;120113.35;117391.39;118754.96;118754.96;66608604537
Jul 22, 2025;117426.5;120269.97;116233.23;119995.41;119995.41;79217583118
Jul 21, 2025;117306.47;119671.56;116584.4;117439.54;117439.54;69820091744
Jul 20, 2025;117944.11;118865.03;116550.13;117300.79;117300.79;57515447231
